,entity,meaning
6785,suspension," the act of suspending something (hanging it from above so it moves freely); ""there was a small ceremony for the hanging of the portrait"""
6786,suspension, a time interval during which there is a temporary cessation of something
6787,stop," a spot where something halts or pauses; ""his next stop is Atlanta"""
6788,stop," a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations; ""in England they call a period a stop"""
6789,stop," a mechanical device in a camera that controls size of aperture of the lens; ""the new cameras adjust the diaphragm automatically"""
6790,stop," put an end to a state or an activity; ""Quit teasing your little brother"""
6791,stop," stop from happening or developing; ""Block his election""; ""Halt the process"""
6792,stop," come to a halt, stop moving; ""the car stopped""; ""She stopped in front of a store window"""
6793,stop," cause to stop; ""stop a car""; ""stop the thief"""
6794,stop," seize on its way; ""The fighter plane was ordered to intercept an aircraft that had entered the country's airspace"""
6795,stop," stop and wait, as if awaiting further instructions or developments; ""Hold on a moment!"""
6796,stop," prevent completion; ""stop the project""; ""break off the negotiations"""
6797,stop," render unsuitable for passage; ""block the way""; ""barricade the streets""; ""stop the busy road"""
6798,stop," the event of something ending; ""it came to a stop at the bottom of the hill"""
6799,stop," a restraint that checks the motion of something; ""he used a book as a stop to hold the door open"""
6800,sorting, the basic cognitive process of arranging into classes or categories
6801,sorting, grouping by class or kind or size
6802,sorting," an operation that segregates items into groups according to a specified criterion; ""the bottleneck in mail delivery is the process of sorting"""
6803,pardoner, a person who pardons or forgives or excuses a fault or offense
6804,pardoner, a medieval cleric who raised money for the church by selling papal indulgences
6805,qualifying," success in satisfying a test or requirement; ""his future depended on his passing that test""; ""he got a pass in introductory chemistry""   in a lengthy or prolix manner; ""the argument went on lengthily""; ""she talked at length about the problem"""
6806,qualifying, the grammatical relation that exists when a word qualifies the meaning of the phrase
6807,vitriol, (H2SO4) a highly corrosive acid made from sulfur dioxide; widely used in the chemical industry
6808,vitriol, subject to bitter verbal abuse
6809,compare," examine and note the similarities or differences of; ""John compared his haircut to his friend's""; ""We compared notes after we had both seen the movie"""
6810,compare," be comparable; ""This car does not compare with our line of Mercedes"""
6811,bar," an obstruction (usually metal) placed at the top of a goal; ""it was an excellent kick but the ball hit the bar"""
6812,bar," a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon; ""there were bars in the windows to prevent escape"""
6813,bar," (law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case is tried; ""spectators were not allowed past the bar"""
6814,bar," (meteorology) a unit of pressure equal to a million dynes per square centimeter; ""unfortunately some writers have used bar for one dyne per square centimeter"""
6815,bar," a counter where you can obtain food or drink; ""he bought a hot dog and a coke at the bar"""
6816,bar," a heating element in an electric fire; ""an electric fire with three bars"""
6817,goodness," moral excellence or admirableness; ""there is much good to be found in people"""
6818,goodness," that which is pleasing or valuable or useful; ""weigh the good against the bad""; ""among the highest goods of all are happiness and self-realization"""
6819,finishing," a decorative texture or appearance of a surface (or the substance that gives it that appearance); ""the boat had a metallic finish""; ""he applied a coat of a clear finish""; ""when the finish is too thin it is difficult to apply evenly"""
6820,finishing," the act of finishing; ""his best finish in a major tournament was third""; ""the speaker's finishing was greeted with applause"""
6821,tick, any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
6822,tick," make a clicking or ticking sound; ""The clock ticked away"""
6823,tick," a mark indicating that something has been noted or completed etc.; ""as he called the role he put a check mark by each student's name"""
6824,tick," sew; ""tick a mattress"""
6825,reason," think logically; ""The children must learn to reason"""
6826,reason," a rational motive for a belief or action; ""the reason that war was declared""; ""the grounds for their declaration"""
6827,reason," a justification for something existing or happening; ""he had no cause to complain""; ""they had good reason to rejoice"""
6828,reason, present reasons and arguments
6829,purging, an act of removing by cleansing; ridding of sediment or other undesired elements
6830,purging, the act of clearing yourself (or another) from some stigma or charge
6831,serve," contribute or conduce to; ""The scandal served to increase his popularity"""
6832,serve," serve a purpose, role, or function; ""The tree stump serves as a table""; ""The female students served as a control group""; ""This table would serve very well""; ""His freedom served him well""; ""The table functions as a desk"""
6833,serve," devote (part of) one's life or efforts to, as of countries, institutions, or ideas; ""She served the art of music""; ""He served the church""; ""serve the country"""
6834,serve," put the ball into play; ""It was Agassi's turn to serve"""
6835,serve," help to some food; help with food or drink; ""I served him three times, and after that he helped himself"""
6836,serve," do duty or hold offices; serve in a specific function; ""He served as head of the department for three years""; ""She served in Congress for two terms"""
6837,homogenize," break up the fat globules of; ""homogenized milk"""
6838,homogenize," cause to become equal or homogeneous as by mixing; ""homogenize the main ingredients"""
6839,homogenize," become homogeneous or similar, as by mixing; ""The two liquids homogenized in the blender"""
6840,sprout, a newly grown bud (especially from a germinating seed)
